site,name,link,salary_min,salary_max,salary_curr
https://russia.superjob.ru,Ведущий сетевой инженер,https://superjob.ru/vakansii/veduschij-setevoj-inzhener-36181077.html,90000,,руб.
https://russia.superjob.ru,"Senior QA (Встраиваемые системы, абонентские терминалы)",https://superjob.ru/vakansii/senior-qa-36181024.html,,,
https://russia.superjob.ru,Senior / Middle DevOps Engineer,https://superjob.ru/vakansii/senior-36046994.html,,,
https://russia.superjob.ru,Full stack developer / Фулстек-разработчик,https://superjob.ru/vakansii/full-stack-developer-36180127.html,60000,75000,руб.
https://russia.superjob.ru,Интернет-маркетолог,https://superjob.ru/vakansii/internet-marketolog-35877418.html,,,
https://russia.superjob.ru,Аналитик,https://superjob.ru/vakansii/analitik-36272659.html,70000,,руб.
https://russia.superjob.ru,Администратор базы знаний чат-бота,https://superjob.ru/vakansii/administrator-bazy-znanij-chat-bota-36177815.html,35000,,руб.
https://russia.superjob.ru,Fullstack веб-разработчик,https://superjob.ru/vakansii/fullstack-veb-razrabotchik-36176807.html,,,
https://russia.superjob.ru,Системный администратор,https://superjob.ru/vakansii/sistemnyj-administrator-36039526.html,,50000,руб.
https://russia.superjob.ru,Эксперт в отдел противодействия мошенничеству,https://superjob.ru/vakansii/ekspert-v-otdel-protivodejstviya-moshennichestvu-36038644.html,,,
https://russia.superjob.ru,"QA-engineer, автоматизатор, тестировщик",https://superjob.ru/vakansii/qa-engineer-36301141.html,,160000,руб.
https://russia.superjob.ru,Руководитель отдела разработки / Team lead,https://superjob.ru/vakansii/rukovoditel-otdela-razrabotki-36053108.html,120000,150000,руб.
https://russia.superjob.ru,Врач-методист,https://superjob.ru/vakansii/vrach-metodist-36288602.html,80000,,руб.
https://russia.superjob.ru,Data Scientist,https://superjob.ru/vakansii/data-scientist-36116622.html,200000,250000,руб.
https://russia.superjob.ru,Старший системный администратор Linux,https://superjob.ru/vakansii/starshij-sistemnyj-administrator-linux-36173787.html,,,
https://russia.superjob.ru,Преподаватель (в онлайн-школу программирования для детей 6-16 лет),https://superjob.ru/vakansii/prepodavatel-36173708.html,,30000,руб.
https://russia.superjob.ru,"Системный администратор, IT-специалист, программист",https://superjob.ru/vakansii/sistemnyj-administrator-33845400.html,90000,100000,руб.
https://russia.superjob.ru,Аналитик,https://superjob.ru/vakansii/analitik-31183225.html,,,
https://russia.superjob.ru,Системный администратор Linux,https://superjob.ru/vakansii/sistemnyj-administrator-linux-33832459.html,,70000,руб.
https://russia.superjob.ru,Биоинформатик,https://superjob.ru/vakansii/bioinformatik-36031788.html,,,
https://russia.superjob.ru,DevOps инженер / Linux инженер,https://superjob.ru/vakansii/devops-inzhener-36167895.html,,,
https://russia.superjob.ru,Инженер-аналитик службы технической поддержки,https://superjob.ru/vakansii/inzhener-analitik-sluzhby-tehnicheskoj-podderzhki-36032634.html,,,
https://russia.superjob.ru,Программист микроконтроллеров,https://superjob.ru/vakansii/programmist-mikrokontrollerov-36121028.html,70000,,руб.
https://russia.superjob.ru,С++ разработчик прикладного встраиваемого ПО,https://superjob.ru/vakansii/s-36168645.html,,,
https://russia.superjob.ru,Ведущий инженер-тестировщик / QA,https://superjob.ru/vakansii/veduschij-inzhener-testirovschik-36032635.html,,,
https://hh.ru,Data Scientist,https://spb.hh.ru/vacancy/42392779?query=python,,,
https://hh.ru,Middle Python Developer,https://spb.hh.ru/vacancy/42949391?query=python,,180000.0,руб.
https://hh.ru,Data Scientist,https://spb.hh.ru/vacancy/41936735?query=python,,,
https://hh.ru,Data analyst - QA/Data quality (Python Middle/ Senior),https://spb.hh.ru/vacancy/42997059?query=python,,,
https://hh.ru,"Senior Python Developer, Financial Software Solutions",https://spb.hh.ru/vacancy/41834881?query=python,,,
https://hh.ru,Python developer (Middle / Senior),https://spb.hh.ru/vacancy/40902708?query=python,,,
https://hh.ru,Разработчик / Инженер-программист (Python),https://spb.hh.ru/vacancy/40041361?query=python,,200000.0,руб.
https://hh.ru,Middle Python developer,https://spb.hh.ru/vacancy/42358948?query=python,,,
https://hh.ru,Программист Python,https://spb.hh.ru/vacancy/42769570?query=python,90000.0,,руб.
https://hh.ru,Senior Machine Learning Engineer,https://spb.hh.ru/vacancy/41923966?query=python,200000.0,,руб.
https://hh.ru,Python-разработчик,https://spb.hh.ru/vacancy/42316038?query=python,,,
https://hh.ru,Data Scientist,https://spb.hh.ru/vacancy/42979526?query=python,,,
https://hh.ru,"Fullstack разработчик (Python, PHP, JS)",https://spb.hh.ru/vacancy/42676278?query=python,2200.0,3500.0,EUR
https://hh.ru,Data engineer (Big Data),https://spb.hh.ru/vacancy/42614429?query=python,,,
https://hh.ru,"Data Scientist (проект ""Дискуссии"")",https://spb.hh.ru/vacancy/40908394?query=python,,,
https://hh.ru,Data Engineer (Удаленно),https://spb.hh.ru/vacancy/42629246?query=python,,,
https://hh.ru,Аналитик /Data Analyst,https://spb.hh.ru/vacancy/41124052?query=python,,,
https://hh.ru,Python-разработчик,https://spb.hh.ru/vacancy/41843967?query=python,,,
https://hh.ru,QA Automation Engineer (Python) / Тестировщик,https://spb.hh.ru/vacancy/41455624?query=python,,,
https://hh.ru,Backend Developer (Bioinformatics),https://spb.hh.ru/vacancy/42970075?query=python,150000.0,250000.0,руб.
https://hh.ru,Разработчик Python,https://spb.hh.ru/vacancy/42573667?query=python,,,
https://hh.ru,Data engineer,https://spb.hh.ru/vacancy/40515156?query=python,,,
https://hh.ru,Python Web Developer,https://spb.hh.ru/vacancy/42830964?query=python,,,
https://hh.ru,Ведущий Python разработчик,https://spb.hh.ru/vacancy/42933203?query=python,,270000.0,руб.
https://hh.ru,Аналитик данных,https://spb.hh.ru/vacancy/42474231?query=python,,,
https://hh.ru,Full-Stack Python Developer,https://spb.hh.ru/vacancy/42394961?query=python,,,
https://hh.ru,Data Engineer в BI Team,https://spb.hh.ru/vacancy/41038879?query=python,,,
https://hh.ru,Middle/ Senior Python разработчик,https://spb.hh.ru/vacancy/42118906?query=python,,,
https://hh.ru,"Middle/Senior Python Data Engineer (Wind Team), remote",https://spb.hh.ru/vacancy/42249220?query=python,180000.0,,руб.
https://hh.ru,Python Backend Developer,https://spb.hh.ru/vacancy/38309211?query=python,,,
https://hh.ru,Python Developer,https://spb.hh.ru/vacancy/42963945?query=python,,,
https://hh.ru,"Python Developer, Media Conglomerate",https://spb.hh.ru/vacancy/40305266?query=python,,,
https://hh.ru,Python backend developer,https://spb.hh.ru/vacancy/42586324?query=python,,,
https://hh.ru,Python developer,https://spb.hh.ru/vacancy/42421467?query=python,100000.0,150000.0,руб.
https://hh.ru,Data Engineer,https://spb.hh.ru/vacancy/42803278?query=python,1400.0,,USD
https://hh.ru,Data Scientist (Python + R),https://spb.hh.ru/vacancy/42949998?query=python,,,
https://hh.ru,Data Engineer,https://spb.hh.ru/vacancy/41993225?query=python,,,
https://hh.ru,C++/Data Engineering developer,https://spb.hh.ru/vacancy/43017572?query=python,,,
https://hh.ru,Python Tech Lead,https://spb.hh.ru/vacancy/42979280?query=python,,,
https://hh.ru,Data Engineer,https://spb.hh.ru/vacancy/42993348?query=python,,,
https://hh.ru,"Python Team Lead, Energy Tech Solutions",https://spb.hh.ru/vacancy/42986929?query=python,,,
https://hh.ru,Audio Programmer (С++/ Python),https://spb.hh.ru/vacancy/42577312?query=python,,,
https://hh.ru,Backend Python разработчик (middle),https://spb.hh.ru/vacancy/42449170?query=python,,,
https://hh.ru,QA TechLead (Python),https://spb.hh.ru/vacancy/42481077?query=python,,,
https://hh.ru,Backend разработчик (NodeJS),https://spb.hh.ru/vacancy/42198272?query=python,150000.0,200000.0,руб.
https://hh.ru,Data scientist / Разработчик рекомендательных систем,https://spb.hh.ru/vacancy/40845802?query=python,,,
https://hh.ru,Big Data Engineer,https://spb.hh.ru/vacancy/41047393?query=python,,,
https://hh.ru,Senior Python Developer,https://spb.hh.ru/vacancy/42275868?query=python,,,
https://hh.ru,Senior Python developer (Remote),https://spb.hh.ru/vacancy/42512419?query=python,200000.0,350000.0,руб.
https://hh.ru,Data Engineer,https://spb.hh.ru/vacancy/42184585?query=python,,,
https://hh.ru,Full-stack Architect (Python + Vue),https://spb.hh.ru/vacancy/42887367?query=python,280000.0,340000.0,руб.
https://hh.ru,Разработчик,https://spb.hh.ru/vacancy/42850708?query=python,25000.0,25000.0,руб.
https://hh.ru,Middle Python specialist,https://spb.hh.ru/vacancy/41186466?query=python,,,
https://hh.ru,Data Scientist / Machine Learning Engineer (на Кипр),https://spb.hh.ru/vacancy/42934086?query=python,,,
https://hh.ru,Data Scientist,https://spb.hh.ru/vacancy/41182061?query=python,,,
https://hh.ru,"Full stack developer (Python, AngularJs)",https://spb.hh.ru/vacancy/42269823?query=python,200000.0,250000.0,руб.
https://hh.ru,Deep Learning Researcher,https://spb.hh.ru/vacancy/42858479?query=python,,,
https://hh.ru,DevOPS Инженер,https://spb.hh.ru/vacancy/41054919?query=python,,,
https://hh.ru,QA Automation Engineer (Python),https://spb.hh.ru/vacancy/42713842?query=python,,,
https://hh.ru,Middle Back-end Developer (Python),https://spb.hh.ru/vacancy/42033129?query=python,,,
https://hh.ru,Python/Go Developer,https://spb.hh.ru/vacancy/41850767?query=python,,,
https://hh.ru,Python Backend-разработчик,https://spb.hh.ru/vacancy/42932615?query=python,100000.0,150000.0,руб.
https://hh.ru,Machine Learning Engineer,https://spb.hh.ru/vacancy/42913569?query=python,,,
https://hh.ru,Data scientist risk department,https://spb.hh.ru/vacancy/41588306?query=python,,,
https://hh.ru,Программист Python,https://spb.hh.ru/vacancy/42007511?query=python,,,
https://hh.ru,Data scientist/Machine learning engineer в Команду CoreML,https://spb.hh.ru/vacancy/42449951?query=python,,,
https://hh.ru,Программист Python/JavaScript,https://spb.hh.ru/vacancy/42937519?query=python,,,
https://hh.ru,Программист-аналитик Python,https://spb.hh.ru/vacancy/42007372?query=python,,,
https://hh.ru,Lead Data Scientist,https://spb.hh.ru/vacancy/42972062?query=python,,,
https://hh.ru,Programming intern,https://spb.hh.ru/vacancy/42416936?query=python,,,
https://hh.ru,Web Developer (Python),https://spb.hh.ru/vacancy/42923793?query=python,,,
https://hh.ru,Data Engineer,https://spb.hh.ru/vacancy/40616758?query=python,120000.0,,руб.
https://hh.ru,Data analyst (International),https://spb.hh.ru/vacancy/42703659?query=python,,,
https://hh.ru,C++ разработчик backend в команду Navi,https://spb.hh.ru/vacancy/42947702?query=python,,,
https://hh.ru,Python Engineer - Senior,https://spb.hh.ru/vacancy/42563724?query=python,,,
https://hh.ru,Data Engineer / С# Developer,https://spb.hh.ru/vacancy/41962627?query=python,,,
https://hh.ru,Junior DevOPS Engineer,https://spb.hh.ru/vacancy/42970886?query=python,,,
https://hh.ru,DevOps-инженер,https://spb.hh.ru/vacancy/42772599?query=python,120000.0,140000.0,руб.
https://hh.ru,Data Scientist,https://spb.hh.ru/vacancy/42323623?query=python,,,
https://hh.ru,Python Team Lead,https://spb.hh.ru/vacancy/38884282?query=python,,,
https://hh.ru,Backend Python разработчик,https://spb.hh.ru/vacancy/41734740?query=python,150000.0,,руб.
